	 ExtractedX	 ExtractedY
1630582729.562680	601	793
1630582729.596010	601	793
1630582729.629350	601	793
1630582729.662680	601	792
1630582729.696010	601	789
1630582729.729350	601	787
1630582729.762680	602	786
1630582729.796020	602	785
1630582729.829350	601	785
1630582729.862680	602	784
1630582729.896020	602	784
1630582729.929350	601	784
1630582729.962680	601	784
1630582729.996020	602	783
1630582730.029350	605	782
1630582730.062680	611	781
1630582730.096020	617	781
1630582730.129350	624	778
1630582730.162680	629	773
1630582730.196020	631	767
1630582730.229350	631	760
1630582730.262680	630	755
1630582730.296020	638	751
1630582730.329350	641	751
1630582730.362680	644	751
1630582730.396020	647	754
1630582730.429350	650	757
1630582730.462680	652	761
1630582730.496020	656	765
1630582730.529350	659	768
1630582730.562680	661	770
1630582730.596020	663	772
1630582730.629350	664	777
1630582730.662690	664	784
1630582730.696020	662	791
1630582730.729350	656	798
1630582730.762690	652	805
1630582730.796020	644	806
1630582730.829350	647	805
1630582730.862690	643	806
1630582730.896020	630	802
1630582730.929350	625	807
1630582730.962690	611	802
1630582730.996020	608	807
1630582731.029350	601	790
1630582731.062690	608	804
1630582731.096020	601	787
1630582731.129350	602	785
1630582731.162690	601	783
1630582731.196020	601	784
1630582731.229350	601	783
1630582731.262690	601	777
1630582731.296020	602	786
1630582731.329350	602	780
1630582731.362690	602	772
1630582731.396020	602	765
1630582731.429350	602	760
1630582731.462690	602	755
1630582731.496020	602	750
1630582731.529360	602	742
1630582731.562690	602	733
1630582731.596020	602	725
1630582731.629360	602	717
1630582731.662690	602	711
1630582731.696020	616	700
1630582731.729360	617	697
1630582731.762690	617	690
1630582731.796020	619	688
1630582731.829360	618	685
1630582731.862690	615	684
1630582731.896020	603	691
1630582731.929360	615	679
1630582731.962690	616	674
1630582731.996020	616	671
1630582732.029360	616	669
1630582732.062690	617	668
1630582732.096020	602	670
1630582732.129360	617	662
1630582732.162690	618	659
1630582732.196020	603	661
1630582732.229360	620	655
1630582732.262690	623	653
1630582732.296020	608	650
1630582732.329360	625	648
1630582732.362690	626	644
1630582732.396030	626	643
1630582732.429360	627	643
1630582732.462690	627	643
1630582732.496030	627	643
1630582732.529360	627	643
1630582732.562690	627	643
1630582732.596030	629	643
1630582732.629360	630	643
1630582732.662690	632	643
1630582732.696030	633	643
1630582732.729360	634	643
1630582732.762690	634	643
1630582732.796030	635	643
1630582732.829360	637	643
1630582732.862690	638	643
1630582732.896030	640	643
1630582732.929360	640	643
1630582732.962690	624	643
1630582732.996030	623	645
1630582733.029360	636	648
1630582733.062690	632	654
1630582733.096030	627	656
1630582733.129360	622	655
1630582733.162690	621	657
1630582733.196030	622	659
1630582733.229360	624	663
1630582733.262690	625	666
1630582733.296030	625	667
1630582733.329360	625	670
1630582733.362700	625	672
1630582733.396030	623	672
1630582733.429360	622	672
1630582733.462700	621	671
1630582733.496030	621	668
1630582733.529360	622	661
1630582733.562700	623	652
1630582733.596030	625	643
1630582733.629360	628	633
1630582733.662700	629	623
1630582733.696030	629	617
1630582733.729360	632	614
1630582733.762700	634	610
1630582733.796030	643	608
1630582733.829360	651	609
1630582733.862700	654	609
1630582733.896030	656	610
1630582733.929360	658	610
1630582733.962700	659	609
1630582733.996030	659	607
1630582734.029360	659	607
1630582734.062700	660	605
1630582734.096030	662	605
1630582734.129360	663	604
1630582734.162700	665	604
1630582734.196030	668	603
1630582734.229370	671	603
1630582734.262700	674	601
1630582734.296030	664	590
1630582734.329370	675	596
1630582734.362700	675	592
1630582734.396030	675	588
1630582734.429370	675	582
1630582734.462700	674	574
1630582734.496030	671	566
